decoder	pct_of_png	mb_per_s	bytes	png_bytes	files
AVIF	88.9	15.5	13684663	15394305	24
JXL	65.8	4.9	10131879	15394305	24
PXL-L1	87.8	327.4	13514266	15394305	24
PXL-L12	88.6	198.8	13633519	15394305	24
PXL-L19	85.6	246.4	13177324	15394305	24
WebP	73.6	87.3	11336282	15394305	24
libpng	100.0	84.2	15394305	15394305	24
