level	files	bytes	png_bytes	encode_ms	decode_ms
1	24	13514266	15394305	2350	18737
3	24	14040438	15394305	4057	20530
6	24	13773747	15394305	6259	22220
9	24	13707945	15394305	8198	23373
12	24	13633519	15394305	13388	27701
15	24	13556441	15394305	27514	39642
17	24	13188817	15394305	46400	55260
19	24	13177324	15394305	61167	67594
22	24	13181581	15394305	62233	68562
